trait,model,beta,se,t,p,ci_lower,ci_upper,n,r2,r2_adj
Education,Without education,0.2303,0.0709,3.2466,0.0012,0.0913,0.3693,9643,0.0602,0.0589
Education,With education,0.0872,0.0741,1.1762,0.2395,-0.0581,0.2325,9625,0.0647,0.0633
Cognition,Without education,0.2349,0.0748,3.1426,0.0017,0.0884,0.3814,9643,0.0601,0.0588
Cognition,With education,0.1163,0.0768,1.5138,0.1301,-0.0343,0.2669,9625,0.0648,0.0634
Depression,Without education,-0.0033,0.0729,-0.0453,0.9638,-0.1462,0.1396,9643,0.0592,0.0579
Depression,With education,0.0304,0.0731,0.4155,0.6778,-0.1129,0.1737,9625,0.0646,0.0632
Neuroticism,Without education,-0.0812,0.0849,-0.9562,0.3390,-0.2476,0.0852,9643,0.0593,0.0580
Neuroticism,With education,-0.0346,0.0850,-0.4073,0.6838,-0.2013,0.1320,9625,0.0646,0.0632
Well-being,Without education,-0.0659,0.0720,-0.9149,0.3602,-0.2071,0.0753,9643,0.0592,0.0580
Well-being,With education,-0.0824,0.0720,-1.1449,0.2522,-0.2234,0.0586,9625,0.0647,0.0633
