test,trait,outcome,n_instruments,iv_coef,iv_se,iv_p,j_stat,j_pval,n,r2_exposure,r2_outcome,correct_direction,egger_intercept,egger_intercept_se,egger_intercept_p,egger_slope,egger_slope_se,egger_slope_p,coef,se,p
Overidentification (J-test),Education,IHS(wealth),2.0000,0.8029,0.0667,0.0000,1.6442,0.1998,12060,,,,,,,,,,,,
Steiger directionality,Education,IHS(wealth),,,,,,,12060,0.0704,0.0113,True,,,,,,,,,
Overidentification (J-test),Education,SS claiming age,2.0000,0.2890,0.0363,0.0000,0.5230,0.4696,6700,,,,,,,,,,,,
Steiger directionality,Education,SS claiming age,,,,,,,6700,0.0603,0.0091,True,,,,,,,,,
Overidentification (J-test),Cognition,IHS(wealth),2.0000,0.4282,0.0449,0.0000,1.9637,0.1611,11689,,,,,,,,,,,,
Steiger directionality,Cognition,IHS(wealth),,,,,,,11689,0.0614,0.0058,True,,,,,,,,,
Overidentification (J-test),Cognition,SS claiming age,2.0000,0.1663,0.0246,0.0000,2.1064,0.1467,6607,,,,,,,,,,,,
Steiger directionality,Cognition,SS claiming age,,,,,,,6607,0.0636,0.0061,True,,,,,,,,,
Overidentification (J-test),Depression,IHS(wealth),3.0000,-1.7373,0.2231,0.0000,0.1471,0.9291,12090,,,,,,,,,,,,
PGS-level Egger,Depression,IHS(wealth),3.0000,,,,,,12090,,,,0.0247,0.0020,0.0504,-1.8803,0.0135,0.0046,,,
Steiger directionality,Depression,IHS(wealth),,,,,,,12090,0.0097,0.0024,True,,,,,,,,,
Overidentification (J-test),Depression,SS claiming age,3.0000,-0.5704,0.1424,0.0001,0.6683,0.7159,6712,,,,,,,,,,,,
PGS-level Egger,Depression,SS claiming age,3.0000,,,,,,6712,,,,-0.0156,0.0132,0.4472,-0.4776,0.1133,0.1483,,,
Steiger directionality,Depression,SS claiming age,,,,,,,6712,0.0067,0.0015,True,,,,,,,,,
Multivariable MR,Education,IHS(wealth),,0.6552,0.1436,0.0000,,,11659,,,,,,,,,,,,
Multivariable MR,Cognition,IHS(wealth),,-0.1450,0.0990,0.1429,,,11659,,,,,,,,,,,,
Multivariable MR,Depression,IHS(wealth),,-1.2416,0.4070,0.0023,,,11659,,,,,,,,,,,,
Multivariable MR,Education,SS claiming age,,0.2272,0.0882,0.0100,,,6595,,,,,,,,,,,,
Multivariable MR,Cognition,SS claiming age,,-0.0048,0.0512,0.9248,,,6595,,,,,,,,,,,,
Multivariable MR,Depression,SS claiming age,,-0.3446,0.2794,0.2175,,,6595,,,,,,,,,,,,
Height PGS benchmark,Height,IHS(wealth),,,,,,,12090,,,,,,,,,,-0.3674,0.0513,0.0000
Height PGS benchmark,Height,SS claiming age,,,,,,,6712,,,,,,,,,,-0.0186,0.0242,0.4429
