trait,model,beta,se,t,p,ci_lower,ci_upper,n,r2,r2_adj
Education,Without education,0.5614,0.0469,11.9778,0.0000,0.4696,0.6533,12090,0.0222,0.0212
Education,With education,0.2744,0.0472,5.8180,0.0000,0.1820,0.3669,12060,0.0605,0.0594
Cognition,Without education,0.4803,0.0488,9.8464,0.0000,0.3847,0.5759,12090,0.0179,0.0168
Cognition,With education,0.2329,0.0483,4.8215,0.0000,0.1382,0.3276,12060,0.0595,0.0584
Depression,Without education,-0.2667,0.0463,-5.7607,0.0000,-0.3575,-0.1760,12090,0.0128,0.0117
Depression,With education,-0.1946,0.0453,-4.2991,0.0000,-0.2834,-0.1059,12060,0.0592,0.0581
Neuroticism,Without education,-0.3097,0.0560,-5.5272,0.0000,-0.4195,-0.1999,12090,0.0127,0.0117
Neuroticism,With education,-0.2252,0.0547,-4.1166,0.0000,-0.3324,-0.1180,12060,0.0592,0.0581
Well-being,Without education,0.1913,0.0464,4.1203,0.0000,0.1003,0.2823,12090,0.0115,0.0104
Well-being,With education,0.1615,0.0456,3.5428,0.0004,0.0722,0.2509,12060,0.0588,0.0577
