PGS trait,Specification,Coefficient,SE,95% CI,p-value,,N,R-squared
Education,Without education,0.561,0.047,"[0.470, 0.653]",<0.001,***,12090,0.0222
Education,With education,0.274,0.047,"[0.182, 0.367]",<0.001,***,12060,0.0605
Cognition,Without education,0.480,0.049,"[0.385, 0.576]",<0.001,***,12090,0.0179
Cognition,With education,0.233,0.048,"[0.138, 0.328]",<0.001,***,12060,0.0595
Depression,Without education,-0.267,0.046,"[-0.357, -0.176]",<0.001,***,12090,0.0128
Depression,With education,-0.195,0.045,"[-0.283, -0.106]",<0.001,***,12060,0.0592
Neuroticism,Without education,-0.310,0.056,"[-0.419, -0.200]",<0.001,***,12090,0.0127
Neuroticism,With education,-0.225,0.055,"[-0.332, -0.118]",<0.001,***,12060,0.0592
Well-being,Without education,0.191,0.046,"[0.100, 0.282]",<0.001,***,12090,0.0115
Well-being,With education,0.162,0.046,"[0.072, 0.251]",<0.001,***,12060,0.0588
