trait,model,beta,se,t,p,ci_lower,ci_upper,n,r2,r2_adj
Education,Without education,0.1827,0.0230,7.9595,0.0000,0.1377,0.2277,6712,0.0293,0.0274
Education,With education,0.0978,0.0237,4.1313,0.0000,0.0514,0.1441,6700,0.0598,0.0578
Cognition,Without education,0.1693,0.0246,6.8741,0.0000,0.1211,0.2176,6712,0.0271,0.0252
Cognition,With education,0.0937,0.0248,3.7863,0.0002,0.0452,0.1422,6700,0.0593,0.0574
Depression,Without education,-0.0780,0.0234,-3.3349,0.0009,-0.1239,-0.0322,6712,0.0216,0.0197
Depression,With education,-0.0548,0.0230,-2.3789,0.0174,-0.0999,-0.0096,6700,0.0581,0.0561
Neuroticism,Without education,-0.1128,0.0272,-4.1520,0.0000,-0.1660,-0.0595,6712,0.0225,0.0206
Neuroticism,With education,-0.0822,0.0268,-3.0633,0.0022,-0.1348,-0.0296,6700,0.0586,0.0566
Well-being,Without education,0.0425,0.0226,1.8826,0.0598,-0.0017,0.0868,6712,0.0204,0.0185
Well-being,With education,0.0351,0.0221,1.5847,0.1130,-0.0083,0.0784,6700,0.0576,0.0556
