PGS trait,Outcome,OR,95% CI,p-value,,N
Education,Stock (current),1.173,"[1.120, 1.228]",<0.001,***,12060
Education,IRA (current),1.183,"[1.135, 1.234]",<0.001,***,12060
Education,Stock (ever),1.173,"[1.124, 1.224]",<0.001,***,12060
Education,IRA (ever),1.182,"[1.131, 1.235]",<0.001,***,12060
Cognition,Stock (current),1.148,"[1.095, 1.204]",<0.001,***,12060
Cognition,IRA (current),1.142,"[1.094, 1.193]",<0.001,***,12060
Cognition,Stock (ever),1.106,"[1.058, 1.156]",<0.001,***,12060
Cognition,IRA (ever),1.118,"[1.068, 1.171]",<0.001,***,12060
Depression,Stock (current),0.906,"[0.867, 0.947]",<0.001,***,12060
Depression,IRA (current),0.936,"[0.899, 0.975]",0.001,**,12060
Depression,Stock (ever),0.892,"[0.856, 0.929]",<0.001,***,12060
Depression,IRA (ever),0.929,"[0.890, 0.969]",<0.001,***,12060
Neuroticism,Stock (current),0.939,"[0.892, 0.989]",0.016,*,12060
Neuroticism,IRA (current),0.952,"[0.908, 0.998]",0.042,*,12060
Neuroticism,Stock (ever),0.922,"[0.878, 0.967]",<0.001,***,12060
Neuroticism,IRA (ever),0.938,"[0.892, 0.986]",0.012,*,12060
Well-being,Stock (current),1.005,"[0.961, 1.051]",0.821,,12060
Well-being,IRA (current),1.049,"[1.008, 1.092]",0.019,*,12060
Well-being,Stock (ever),1.052,"[1.010, 1.097]",0.015,*,12060
Well-being,IRA (ever),1.033,"[0.990, 1.079]",0.132,,12060
